video_id,title,channel_title,category_id,publish_time,view_count,like_count,comment_count
KJxCQxpcHRo,"Stranger Kiss 😘 - Epi 04 | Heart Break 💔 | Adhithi, Aravind | Adan Aravind | Rom-Com | 4K | Finally",Finally,23,2025-04-30T04:30:07Z,438770,18077,565
j5sVk0ayAdM,#Video | बदनाम सलाई बा |#Neelkamal Singh Sad Song | Badnaam Salai Ba| नीलकमल सिंह| Bhojpuri Sad Song,T-Series Hamaar Bhojpuri,10,2025-05-01T01:27:33Z,6564299,210886,14893
TBFWUqf1gKY,Every Foodie Ever | Ft. Tena Jaiin | The Paayal Jain,The Paayal Jain,23,2025-04-30T09:33:03Z,1203937,37495,3904
C-YxeylVxsA,முன்னாள் MP K.C .பழனிசாமி அவர்களின் சொந்த ஊரில் ஒரு நாள்😍|KC  Palanisamy Exclusive Interview 🔥,Seithi Malar,25,2025-05-01T14:00:16Z,114989,814,162
YuUIEy2OWbM,Budget-ல Perfect ஆன வீடா வாங்கிட்டோம்🥳 | We Were Extremely Happy🏘❤ | Anitha Sampath Vlogs,Anithasampath Vlogs,22,2025-05-02T05:30:29Z,209286,2467,191
VwRH9LmAf38,Drunk Prank On Armaan,Malik Vlogs,22,2025-04-30T04:30:17Z,1508412,35556,1436
qC4WKBuPocQ,Annam- Promo | 03 May 2025 | Tamil Serial | Sun TV,Sun TV,24,2025-05-02T16:50:08Z,432352,5896,35
9VElawvyh-s,SCORPION CHILLI | Yummy Scorpion Fry Recipe | Cooking In China,Village Food Channel,26,2025-04-30T13:30:47Z,572326,19042,578
UwRlCLLy1m4,SOMETHING FISHY! |  Part 1 | Karikku | Comedy,Karikku,23,2025-04-27T15:33:11Z,6795500,278418,10233
hJbXeDUVIc4,"OnePlus 13T (India -la 13S?) - சின்னதா இருந்தாலும், இந்த phone வேற level!",C4ETech Tamil,28,2025-05-02T08:00:48Z,99372,4938,256
-UjN7aOPq1A,How To Achieve Financial Freedom? By Sandeep Maheshwari | Hindi,Sandeep Maheshwari,22,2025-05-01T15:26:19Z,374054,23207,1417
4qYsmpLmKU8,Annam- Promo | 02 May 2025 | Tamil Serial | Sun TV,Sun TV,24,2025-05-02T06:16:46Z,467896,6445,56
CIikaocdGEE,Sancharam | By Santhosh George Kulangara | Bihar 02 | Safari TV,Safari,19,2025-05-02T04:30:09Z,121861,1784,259
SAB2_FJkwsw,'കാരവൻ യാത്രയിൽ ആകെ ബുദ്ധിമുട്ട് നേരിട്ടത് കേരളത്തിൽ മാത്രമാണ്.ഇവിടെ കാരവൻ പാർക്ക് എന്നൊന്നില്ല...',Baiju N Nair,2,2025-05-02T05:59:49Z,141689,4032,347
